time,amplitude,rms
2018-04-12 03:51,46.22465252391693,34.59916273416409
2018-04-12 03:53,45.20395152921503,34.43565392436613
2018-04-12 03:56,46.51170740406928,34.362856030884615
2018-04-12 03:58,46.64382336561355,35.1924142377993
2018-04-12 04:00,57.87595854218646,36.463526215022796
2018-04-12 04:02,46.06377852635255,34.32874272477444
2018-04-12 04:04,46.579519137490905,34.41143349220878
2018-04-12 04:07,47.511146029170455,34.68490004191623
2018-04-12 04:09,46.17006324485424,35.21523139520403
2018-04-12 04:11,47.85877179466546,35.031579249302496
2018-04-12 04:13,46.65904972607332,34.9154812700305
2018-04-12 04:16,46.856412139250764,34.84063560798929
2018-04-12 04:18,46.427698711780785,35.12372515249018
2018-04-12 04:20,45.44990549305972,35.08233927715392
2018-04-12 04:22,47.31279602229215,34.98990210798149
